name,cop_density,initial_agent_density,vision,government_legitimacy,max_jail_term,snitch,cop_threshold
exp1,0.14,0.62,6,0.07,8,0.8,0.4
exp10,0.3,0.5,7,0.82,30,0.3,0.7
exp11,0.04,0.56,7,0.40,30,0.5,0.99
