quiet_track_0,active_track_0,jailed_track_0,quiet_track_1,active_track_1,jailed_track_1,quiet_track_2,active_track_2,jailed_track_2,quiet_track_3,active_track_3,jailed_track_3,quiet_track_4,active_track_4,jailed_track_4
1099,0,21,853,0,267,1084,0,36,796,0,324,1097,0,23
1101,0,19,869,0,251,1083,0,37,813,0,307,1097,0,23
1101,0,19,889,0,231,1085,0,35,827,0,293,1097,0,23
1099,0,21,914,0,206,1085,0,35,846,0,274,1096,0,24
1100,0,20,927,0,193,1085,0,35,867,0,253,1095,0,25
1099,0,21,888,23,209,1086,0,34,882,0,238,1095,0,25
1101,0,19,859,22,239,1087,0,33,902,0,218,1096,0,24
1099,0,21,832,31,257,1086,0,34,924,0,196,1094,0,26
1102,0,18,777,47,296,1087,0,33,938,0,182,1095,0,25
1100,0,20,708,78,334,1089,0,31,944,0,176,1094,0,26
1101,0,19,679,66,375,1090,0,30,965,0,155,1095,0,25
1101,0,19,692,18,410,1091,0,29,982,0,138,1099,0,21
1100,0,20,736,0,384,1093,0,27,997,0,123,1097,0,23
1101,0,19,769,0,351,1093,0,27,1012,0,108,1098,0,22
1102,0,18,808,0,312,1096,0,24,1025,0,95,1100,0,20
1100,0,20,834,0,286,1097,0,23,1048,0,72,1096,0,24
1101,0,19,845,0,275,1097,0,23,1066,0,54,1095,0,25
1102,0,18,865,0,255,1098,0,22,1076,0,44,1096,0,24
1101,0,19,883,0,237,1099,0,21,1091,0,29,1097,0,23
1100,0,20,895,0,225,1102,0,18,1096,0,24,1096,0,24
1102,0,18,909,0,211,1103,0,17,1103,0,17,1095,0,25
1101,0,19,915,0,205,1101,0,19,1102,0,18,1098,0,22
1101,0,19,926,0,194,1104,0,16,1103,0,17,1099,0,21
1103,0,17,941,0,179,1105,0,15,1103,0,17,1096,0,24
1102,0,18,952,0,168,1102,0,18,1105,0,15,1097,0,23
1101,0,19,962,0,158,1102,0,18,1104,0,16,1097,0,23
1101,0,19,979,0,141,1102,0,18,1104,0,16,1099,0,21
1100,0,20,990,0,130,1101,0,19,1103,0,17,1096,0,24
1102,0,18,996,0,124,1102,0,18,1106,0,14,1095,0,25
1101,0,19,979,9,132,1106,0,14,1104,0,16,1096,0,24
1101,0,19,995,0,125,1099,0,21,1103,0,17,1096,0,24
1102,0,18,1009,0,111,1099,0,21,1103,0,17,1098,0,22
1102,0,18,1015,0,105,1099,0,21,1104,0,16,1097,0,23
1101,0,19,1022,0,98,1100,0,20,1103,0,17,1097,0,23
1102,0,18,1039,0,81,1102,0,18,1105,0,15,1097,0,23
1100,0,20,1046,0,74,1099,0,21,1103,0,17,1098,0,22
1101,0,19,1056,0,64,1100,0,20,1104,0,16,1096,0,24
1100,0,20,1060,0,60,1099,0,21,1104,0,16,1095,0,25
1101,0,19,1075,0,45,1100,0,20,1106,0,14,1097,0,23
1022,38,60,1083,0,37,1099,0,21,1104,0,16,1096,0,24
753,244,123,1089,0,31,1101,0,19,1106,0,14,1098,0,22
615,326,179,1093,0,27,1099,0,21,1103,0,17,1096,0,24
614,271,235,1094,0,26,1100,0,20,1105,0,15,1097,0,23
612,215,293,1096,0,24,1102,0,18,1105,0,15,1098,0,22
617,157,346,1097,0,23,1101,0,19,1107,0,13,1095,0,25
621,103,396,1096,0,24,1101,0,19,1103,0,17,1096,0,24
632,39,449,1097,0,23,1101,0,19,1105,0,15,1099,0,21
671,0,449,1100,0,20,1101,0,19,1104,0,16,1096,0,24
689,0,431,1097,0,23,1100,0,20,1103,0,17,1097,0,23
704,0,416,1101,0,19,1100,0,20,1103,0,17,1096,0,24
723,0,397,1099,0,21,1100,0,20,1103,0,17,1096,0,24
739,0,381,1100,0,20,1102,0,18,1103,0,17,1096,0,24
756,0,364,1102,0,18,1101,0,19,1104,0,16,1095,0,25
769,0,351,1102,0,18,1103,0,17,1104,0,16,1095,0,25
787,0,333,1104,0,16,1100,0,20,1104,0,16,1096,0,24
808,0,312,1105,0,15,1103,0,17,1103,0,17,1094,0,26
823,0,297,1106,0,14,1102,0,18,1104,0,16,1095,0,25
839,0,281,1106,0,14,1103,0,17,1105,0,15,1096,0,24
850,0,270,1107,0,13,1102,0,18,1104,0,16,1095,0,25
876,0,244,1110,0,10,1101,0,19,1103,0,17,1094,0,26
889,0,231,1108,0,12,1102,0,18,1104,0,16,1094,0,26
906,0,214,1109,0,11,1101,0,19,1103,0,17,1096,0,24
919,0,201,1108,0,12,1104,0,16,1104,0,16,1095,0,25
941,0,179,1110,0,10,1101,0,19,1103,0,17,1099,0,21
962,0,158,1108,0,12,1101,0,19,1104,0,16,1095,0,25
976,0,144,1109,0,11,1103,0,17,1103,0,17,1094,0,26
994,0,126,1109,0,11,1101,0,19,1103,0,17,1097,0,23
1005,0,115,1109,0,11,1103,0,17,1104,0,16,1096,0,24
1027,0,93,1108,0,12,1104,0,16,1107,0,13,1097,0,23
1039,0,81,1110,0,10,1104,0,16,1103,0,17,1095,0,25
1053,0,67,1108,0,12,1101,0,19,1104,0,16,1097,0,23
1062,0,58,1110,0,10,1103,0,17,1106,1,13,1096,0,24
1076,0,44,1109,0,11,1102,0,18,1105,0,15,1097,0,23
1087,0,33,1110,0,10,1101,0,19,1106,0,14,1099,0,21
1098,0,22,1108,0,12,1103,0,17,1104,0,16,1096,0,24
1100,0,20,1108,0,12,1101,0,19,1104,0,16,1097,0,23
1101,0,19,1108,0,12,1102,0,18,1104,0,16,1095,0,25
1102,0,18,1108,0,12,1102,0,18,1105,0,15,1096,0,24
1102,0,18,1110,0,10,1102,0,18,1104,0,16,1096,0,24
1100,0,20,1110,0,10,1102,0,18,1104,0,16,1098,0,22
1100,0,20,1110,0,10,1102,0,18,1104,0,16,1097,0,23
1098,0,22,1108,0,12,1103,0,17,1103,0,17,1097,0,23
