quiet_0,active_0,jailed_0,quiet_1,active_1,jailed_1,quiet_2,active_2,jailed_2,quiet_3,active_3,jailed_3,quiet_4,active_4,jailed_4
1098,0,22,1100,0,20,623,216,281,1106,0,14,1094,0,26
1100,0,20,1102,0,18,619,167,334,1106,0,14,1093,0,27
1099,0,21,1099,0,21,628,110,382,1105,0,15,1094,0,26
1099,0,21,1100,0,20,632,57,431,1106,0,14,1093,0,27
1099,0,21,1101,0,19,678,0,442,1106,0,14,1093,0,27
1098,0,22,1102,0,18,694,0,426,1105,0,15,1096,0,24
1098,0,22,1102,0,18,708,0,412,1106,0,14,1094,0,26
1098,0,22,1100,0,20,725,0,395,1105,0,15,1095,0,25
1098,0,22,1102,0,18,745,0,375,1105,0,15,1094,0,26
1099,0,21,1101,0,19,766,0,354,1106,0,14,1095,0,25
1100,0,20,1102,0,18,785,0,335,1108,0,12,1095,0,25
1099,0,21,1100,0,20,804,0,316,1105,0,15,1095,0,25
1098,0,22,1103,0,17,825,0,295,1105,0,15,1096,0,24
1102,0,18,1101,0,19,838,0,282,1107,0,13,1097,0,23
1097,0,23,1100,0,20,855,0,265,1105,0,15,1096,0,24
1097,0,23,1100,0,20,869,0,251,1106,0,14,1096,0,24
1096,0,24,1100,0,20,882,0,238,1105,0,15,1098,0,22
1097,0,23,1099,0,21,896,0,224,1109,0,11,1101,0,19
1097,0,23,1101,0,19,915,0,205,1107,0,13,1101,0,19
1099,0,21,1099,0,21,933,0,187,1105,0,15,1100,0,20
1098,0,22,1100,0,20,941,0,179,1106,0,14,1101,0,19
1096,0,24,1100,0,20,952,0,168,1107,0,13,1103,0,17
1097,0,23,1102,0,18,972,0,148,1105,0,15,1103,0,17
1097,0,23,1100,0,20,990,0,130,1106,0,14,1103,0,17
1096,0,24,1100,0,20,1009,0,111,1107,0,13,1101,0,19
1097,0,23,1101,0,19,1034,0,86,1106,0,14,1101,0,19
1098,0,22,1099,0,21,1053,0,67,1105,0,15,1102,0,18
1096,0,24,1099,0,21,1064,0,56,1105,0,15,1102,0,18
1097,0,23,1101,0,19,1067,0,53,1106,0,14,1103,0,17
1098,0,22,1102,0,18,1075,0,45,1106,0,14,1102,0,18
1097,0,23,1101,0,19,1085,0,35,1106,0,14,1102,0,18
1098,0,22,1100,0,20,1092,0,28,1105,0,15,1104,0,16
1101,0,19,1099,0,21,1094,0,26,1105,0,15,1101,0,19
1098,0,22,1100,0,20,1095,0,25,1105,0,15,1102,0,18
1098,0,22,1100,0,20,1095,0,25,1106,0,14,1101,0,19
1101,0,19,1100,0,20,1098,0,22,1105,0,15,1102,0,18
1097,0,23,1102,0,18,1097,0,23,1106,0,14,1103,0,17
1100,0,20,1101,0,19,1096,0,24,1105,0,15,1101,0,19
1098,0,22,1099,0,21,1097,0,23,1106,0,14,1102,0,18
1097,0,23,1099,0,21,1096,0,24,1105,0,15,1101,0,19
1098,0,22,1101,0,19,1096,0,24,1105,0,15,1103,0,17
1098,0,22,1102,0,18,1095,0,25,1108,0,12,1102,0,18
1097,0,23,1099,0,21,1095,0,25,1105,0,15,1102,0,18
1099,0,21,1101,0,19,1096,0,24,1106,0,14,1104,0,16
1097,0,23,1103,0,17,1098,0,22,1106,0,14,1101,0,19
1101,0,19,1099,0,21,1097,0,23,1105,0,15,1102,0,18
1099,0,21,1100,0,20,1095,0,25,1106,0,14,1101,0,19
1099,0,21,1100,0,20,1096,0,24,1105,0,15,1103,0,17
1099,0,21,1099,0,21,1097,0,23,1105,0,15,1103,0,17
1097,0,23,1102,0,18,1095,0,25,1107,0,13,1103,0,17
1097,0,23,1099,0,21,1095,0,25,1106,0,14,1103,0,17
1097,0,23,1099,0,21,1095,0,25,1108,0,12,1101,0,19
1097,0,23,1102,0,18,1096,0,24,1106,0,14,1103,0,17
1098,0,22,1100,0,20,1097,0,23,1105,0,15,1103,0,17
1098,0,22,1099,0,21,1097,0,23,1109,0,11,1103,0,17
1097,0,23,1100,0,20,1096,0,24,1106,0,14,1101,0,19
1098,0,22,1101,0,19,1097,0,23,1106,0,14,1101,0,19
1101,0,19,1100,0,20,1101,0,19,1106,0,14,1102,0,18
1099,0,21,1100,0,20,1100,0,20,1107,0,13,1105,0,15
1098,0,22,1100,0,20,1097,0,23,1105,0,15,1101,0,19
1098,0,22,1099,0,21,1095,0,25,1107,0,13,1101,0,19
1098,0,22,1101,0,19,1097,0,23,1106,0,14,1101,0,19
1098,0,22,1099,0,21,1096,0,24,1105,0,15,1101,0,19
1099,0,21,1100,0,20,1095,0,25,1105,0,15,1102,0,18
1097,0,23,1101,0,19,1096,0,24,1105,0,15,1102,0,18
1097,0,23,1099,0,21,1096,0,24,1105,0,15,1103,0,17
1098,0,22,1101,0,19,1097,0,23,1106,0,14,1102,0,18
1097,0,23,1098,0,22,1095,0,25,1106,0,14,1101,0,19
1098,0,22,1099,0,21,1095,0,25,1105,0,15,1101,0,19
1098,0,22,1099,0,21,1095,0,25,1106,0,14,1102,0,18
1099,0,21,1098,0,22,1096,0,24,1106,0,14,1102,0,18
1074,7,39,1099,0,21,1096,0,24,1106,0,14,1102,0,18
1007,27,86,1097,0,23,1095,0,25,1108,0,12,1102,0,18
833,142,145,1099,0,21,1098,0,22,1106,0,14,1101,0,19
657,259,204,1097,0,23,1097,0,23,1105,0,15,1101,0,19
640,217,263,1099,0,21,1095,0,25,1107,0,13,1101,0,19
645,159,316,1098,0,22,1096,0,24,1106,0,14,1102,0,18
651,105,364,1097,0,23,1097,0,23,1108,0,12,1102,0,18
673,40,407,1098,0,22,1096,0,24,1105,0,15,1103,0,17
708,1,411,1099,0,21,1098,0,22,1107,0,13,1103,0,17
726,0,394,1100,0,20,1097,0,23,1106,0,14,1103,0,17
740,0,380,1099,0,21,1096,1,23,1105,0,15,1102,0,18
751,0,369,1099,0,21,1096,0,24,1106,0,14,1102,0,18
767,0,353,1100,0,20,1098,0,22,1105,0,15,1102,0,18
